"NoTicket";"Refprod";"PrixUnit";"Qte";"Remise%"
10248;11;10,67 €;2;0,00
10248;42;7,47 €;2;0,00
10248;72;26,53 €;2;0,00
10248;120;6,10 €;1;0,00
10248;121;6,86 €;2;0,00
10248;122;7,01 €;3;0,00
10248;123;7,24 €;1;0,00
10248;124;7,24 €;2;0,00
10248;125;7,36 €;3;0,00
10248;126;7,62 €;1;0,00
10248;127;7,62 €;2;0,00
10248;128;7,62 €;3;0,00
10248;129;9,15 €;1;0,00
10248;130;9,53 €;2;0,00
10248;131;9,53 €;3;0,00
10248;132;9,72 €;1;0,00
10248;133;9,91 €;2;0,00
10248;134;10,10 €;3;0,00
10248;135;10,67 €;1;0,00
10248;136;10,67 €;2;0,00
10248;137;10,67 €;3;0,00
10248;138;10,67 €;1;0,00
10248;139;11,43 €;2;0,00
10248;140;11,43 €;3;0,00
10248;141;11,81 €;1;0,00
10248;142;3,43 €;2;0,00
10249;14;14,18 €;2;0,00
10249;51;32,32 €;1;0,00
10250;41;5,79 €;2;0,00
10250;51;32,32 €;1;0,15
10250;65;12,81 €;2;0,15
10251;22;12,81 €;2;0,05
10251;57;11,89 €;2;0,05
10251;65;12,81 €;1;0,00
10252;20;49,39 €;1;0,05
10252;33;1,52 €;1;0,05
10252;60;20,73 €;1;0,00
10253;31;7,62 €;1;0,00
10253;39;10,98 €;1;0,00
10253;49;12,20 €;1;0,00
10254;24;2,74 €;2;0,15
10254;55;14,64 €;1;0,15
10254;74;6,10 €;1;0,00
10255;2;11,59 €;1;0,00
10255;16;10,67 €;1;0,00
10255;36;11,59 €;1;0,00
10255;59;33,54 €;1;0,00
10256;53;19,97 €;2;0,00
10256;77;7,93 €;2;0,00
10257;27;26,83 €;1;0,00
10257;39;10,98 €;2;0,00
10257;77;7,93 €;2;0,00
10258;2;11,59 €;2;0,20
10258;5;12,96 €;2;0,20
10258;32;19,51 €;2;0,20
10259;21;6,10 €;2;0,00
